# Generated by scripts/import-romance-lexicons.py; do not edit.
# Lexical pronunciation authority: Montreal Forced Aligner Portuguese dictionaries.
# Pinned mfa-models commit: d6eff86a42c6a90b641e17dfdf7a16555b934483.
# Sources: dictionary/portuguese/brazil_mfa/portuguese_brazil_mfa.dict, dictionary/portuguese/portugal_mfa/portuguese_portugal_mfa.dict.
# Source MFA phones are retained verbatim after NFC normalization.
# word	dialect-membership	mfa-phones
abandono	portugal	ɐ β ɐ̃ d o n u
abandono	portugal	ɐ β ɐ̃ d ɔ n u
abandonou	brazil	a b ɐ̃ d o n o w
abandonou	portugal	ɐ β ɐ̃ d ɔ n o w
abandoná	portugal	ɐ β ɐ̃ d ɔ n a
abandonára	portugal	ɐ β ɐ̃ d ɔ n a ɾ ɐ
abanei	portugal	ɐ b ɐ n e j
abanheenga	brazil	a b ɐ̃ j̃ e ẽ ɡ ɐ
abano	brazil	a b ɐ n o
abano	brazil	a b ɐ n u
abano	portugal	ɐ β ɐ n u
abanou	portugal	ɐ b ɐ n o w
abarbado	portugal	ɐ b a ɾ β a ð u
abarbava	portugal	ɐ b a ɾ β a v ɐ
abarca	brazil	a b a x k ɐ
abarca	portugal	ɐ b a ɾ k ɐ
abarcam	portugal	ɐ b ɐ ɾ k ɐ̃ w̃
abarcando	portugal	ɐ b ɐ ɾ k ɐ̃ d u
abarcar	portugal	ɐ b ɐ ɾ k a ɾ
abarcariam	portugal	ɐ b a ɾ k ɐ ɾ i ɐ̃ w̃
abarcava	portugal	ɐ b ɐ ɾ k a v ɐ
abarco	portugal	ɐ b a ɾ k u
abarcou	portugal	ɐ b a ɾ k o w
abarcá	portugal	ɐ b a ɾ k a
abarim	portugal	ɐ b ɐ ɾ ĩ
abarque	brazil	a b a x c i
abarracado	portugal	ɐ b a ʁ a k a d u
abarracamentos	portugal	ɐ b ɐ ʁ a k ɐ m ẽ t u ʃ
abarregado	brazil	a b a x e ɡ a d u
abarreirados	portugal	ɐ b ɐ ʁ ɐ j ɾ ɐ ð u ʃ
abarreiram	portugal	ɐ b ɐ ʁ ɐ j ɾ ɐ̃ w̃
abarreirando	portugal	ɐ b ɐ ʁ ɐ j ɾ ɐ̃ d u
abarrotada	portugal	ɐ b ɐ ʁ o t a ð ɐ
abarrotadas	portugal	ɐ b ɐ ʁ o t a d ɐ ʃ
abarrotadinhos	portugal	ɐ b ɐ ʁ o t a dʒ i ɲ u ʃ
abarrotado	brazil	a b a x o t a d u
abarrotado	portugal	ɐ b a ʁ u t a ð u
abarrotara	portugal	ɐ b ɐ ʁ o t a ɾ ɐ
abarrotavam	portugal	ɐ b ɐ ʁ o t a v ɐ̃ w̃
abarrotou	portugal	ɐ b ɐ ʁ o t o w
abaré	brazil	a b a ɾ ɛ
abaré	portugal	ɐ b ɐ ɾ ɛ
abas	portugal	a β ɐ ʃ
abastada	portugal	ɐ β ɐ ʃ t a ð ɐ
abastado	portugal	ɐ β ɐ ʃ t a ð u
abastados	portugal	ɐ β ɐ ʃ t a ð u ʃ
abastança	portugal	ɐ β ɐ ʃ t ɐ̃ s ɐ
abastar	portugal	ɐ β ɐ ʃ t a ɾ
abastardaram	portugal	ɐ β ɐ ʃ t a ɾ ð a ɾ ɐ̃ w̃
abastece	portugal	ɐ β ɐ ʃ t ɨ s ɨ
abastecendo	portugal	ɐ β ɐ ʃ t ɨ s ẽ d u
abastecer	brazil	a b a s t e s e x
abastecer	portugal	ɐ β ɐ ʃ t ɨ s e ɾ
abastecimento	brazil	a b a s t e s i m ẽ t u
abastecimento	portugal	ɐ β ɐ ʃ t ɨ s i m ẽ t u
abata	brazil	a b a t ɐ
abata	portugal	ɐ b a t ɐ
abatava	portugal	ɐ b ɐ t a v ɐ
abate	brazil	a b a tʃ i
abate	portugal	ɐ b ɐ t ɨ
abateffeis	portugal	ɐ b ɐ t e i f ɐ j ʃ
abatem	portugal	ɐ b ɐ t ɐ̃ j̃
abatendo	portugal	ɐ b ɐ t ẽ d u
abater	brazil	a b a t e x
abater	portugal	ɐ b ɐ t e ɾ
abatera	portugal	ɐ b ɐ t e ɾ ɐ
abateram	portugal	ɐ b ɐ t e ɾ ɐ̃ w̃
abatesse	portugal	ɐ b ɐ t e s ɨ
abatessem	portugal	ɐ β ɐ t ɛ s ɐ̃ j̃
abateu	portugal	ɐ β ɐ t e w
abati	portugal	ɐ β ɐ t i
abatia	portugal	ɐ β ɐ t i ɐ
abatiam	portugal	ɐ β ɐ t i ɐ̃ w̃
abatida	portugal	ɐ β ɐ t i ð ɐ
abatidas	brazil	a b a tʃ i d ɐ s
abatidas	portugal	ɐ β ɐ t i ð ɐ ʃ
abatido	brazil	a b a tʃ i d u
abatido	portugal	ɐ β ɐ t i ð u
abatidos	portugal	ɐ β ɐ t i ð u ʃ
abatimento	brazil	a b a tʃ i m ẽ t u
abatimento	portugal	ɐ β ɐ t i m ẽ t u
abatises	portugal	ɐ β ɐ t i z ɨ ʃ
abatiá	brazil	a b a tʃ i a
abatiá	brazil	a b a tʃ j a
abatiá	portugal	ɐ β ɐ t i a
abatê	brazil	a b a t e
abatê	portugal	ɐ b ɐ t e
abaulado	portugal	ɐ b ɐ u l a ð u
abaxial	brazil	a b a c i s i a w
abaxial	portugal	ɐ β ɐ k s j a l
abaíra	brazil	a b a i ɾ ɐ
abaíra	portugal	ɐ b ɐ i ɾ ɐ
abbade	portugal	ɐ β b a d ɨ
abbadessa	portugal	ɐ b a b ɐ d e s ɐ
