# Generated by scripts/import-romance-lexicons.py; do not edit.
# Lexical pronunciation authority: Montreal Forced Aligner Portuguese dictionaries.
# Pinned mfa-models commit: d6eff86a42c6a90b641e17dfdf7a16555b934483.
# Sources: dictionary/portuguese/brazil_mfa/portuguese_brazil_mfa.dict, dictionary/portuguese/portugal_mfa/portuguese_portugal_mfa.dict.
# Source MFA phones are retained verbatim after NFC normalization.
# word	dialect-membership	mfa-phones
entrebatidas	portugal	ẽ t ɾ ɨ β ɐ t i ð ɐ ʃ
entrecerradas	portugal	ẽ t ɾ ɨ s ɨ ʁ a ð ɐ ʃ
entrecerrando	portugal	ẽ t ɾ ɨ s ɨ ʁ ɐ̃ d u
entrechocadas	portugal	ĩ t ɾ e ʃ u k a d ɐ ʃ
entrechocados	portugal	ĩ t ɾ e ʃ u k ɐ ð u ʃ
entrechoque	portugal	ĩ t ɾ e ʃ ɔ k ɨ
entrecortada	portugal	ẽ t ɾ ɨ k u ɾ t a ð ɐ
entrecortadas	portugal	ẽ t ɾ ɨ k u ɾ t a ð ɐ ʃ
entrecortado	portugal	ẽ t ɾ ɨ k u ɾ t a ð u
entrecruzados	portugal	ẽ t ɾ ɨ k ɾ u z a ð u ʃ
entrecruzam	portugal	ẽ t ɾ ɨ k ɾ u z ɐ̃ w̃
entrecruzando	portugal	ẽ t ɾ ɨ k ɾ u z ɐ̃ d u
entrecruzavam	portugal	ẽ t ɾ ɨ k ɾ u z a v ɐ̃ w̃
entrega	brazil+portugal	ĩ t ɾ e ɡ a
entregado	brazil+portugal	ĩ t ɾ e ɡ a d u
entregador	brazil	ĩ t ɾ e ɡ a d o x
entregador	brazil+portugal	ĩ t ɾ e ɡ a d o ɾ
entregaffeis	portugal	ĩ t ɾ e ɡ a f ɐ j ʃ
entregal	portugal	ẽ t ɾ ɨ ɣ a l
entregam	brazil	ĩ t ɾ e ɡ ɐ̃ w̃
entregam	portugal	ẽ t ɾ ɨ ɣ ɐ̃ w̃
entregamos	portugal	ĩ t ɾ e ɡ a m u ʃ
entregando	brazil	ĩ t ɾ e ɡ ɐ̃ d u
entregando	portugal	ẽ t ɾ ɨ ɣ ɐ̃ d u
entregar	brazil	ĩ t ɾ e ɡ a x
entregar	brazil	ẽ t ɾ e ɡ a x
entregar	portugal	ẽ t ɾ ɨ ɣ a ɾ
entregara	portugal	ẽ t ɾ ɨ ɣ a ɾ ɐ
entregaram	portugal	ẽ t ɾ ɨ ɣ a ɾ ɐ̃ w̃
entregarei	portugal	ĩ t ɾ e ɡ a ʁ e j
entregaria	portugal	ẽ t ɾ ɨ ɣ ɐ ɾ i ɐ
entregariam	portugal	ẽ t ɾ ɨ ɣ ɐ ɾ i ɐ̃ w̃
entregarlhe	portugal	ĩ t ɾ e ɡ ɐ ʎ ɨ
entregará	portugal	ẽ t ɾ ɨ ɣ ɐ ɾ a
entregarão	portugal	ẽ t ɾ ɨ ɣ ɐ ɾ ɐ̃ w̃
entregas	brazil	ĩ t ɾ e ɡ ɐ s
entregas	portugal	ẽ t ɾ ɨ ɣ ɐ ʃ
entregasse	portugal	ĩ t ɾ e ɡ a s ɨ
entregassem	portugal	ĩ t ɾ e ɡ a s ɐ̃ j̃
entregava	portugal	ẽ t ɾ ɨ ɣ a v ɐ
entregavam	portugal	ĩ t ɾ e ɡ a v ɐ̃ w̃
entrego	brazil	ẽ t ɾ e ɡ u
entrego	portugal	ẽ t ɾ ɨ ɣ u
entregou	brazil	ẽ t ɾ e ɡ o w
entregou	portugal	ẽ t ɾ ɨ ɣ o w
entregue	brazil	ẽ t ɾ e ɟ i
entregue	portugal	ẽ t ɾ ɨ ɣ ɨ
entreguei	brazil	ẽ t ɾ e ɟ e j
entreguei	portugal	ẽ t ɾ ɨ ɣ ɐ j
entreguemol	portugal	ẽ t ɾ ɨ ɣ ɨ m ɔ l
entregues	brazil	ẽ t ɾ e ɟ i s
entregues	portugal	ẽ t ɾ ɨ ɣ ɨ ʃ
entreguêmo	portugal	ẽ t ɾ ɨ ɣ e m u
entregá	brazil	ĩ t ɾ e ɡ a
entregá	portugal	ẽ t ɾ ɨ ɣ a
entregára	portugal	ẽ t ɾ ɨ ɣ a ɾ ɐ
entrei	brazil	ĩ t ɾ e j
entrei	portugal	ẽ t ɾ ɐ j
entrelaça	portugal	ĩ t ɾ e l a s ɐ
entrelaçada	portugal	ẽ t ɾ ɨ l ɐ s a ð ɐ
entrelaçadas	portugal	ẽ t ɾ ɨ l ɐ s a ð ɐ ʃ
entrelaçado	brazil	ẽ t ɾ e l a s a d u
entrelaçado	portugal	ẽ t ɾ ɨ l ɐ s a ð u
entrelaçados	portugal	ĩ t ɾ e l a s a ð u ʃ
entrelaçam	portugal	ĩ t ɾ e l a s ɐ̃ w̃
entrelaçamento	brazil	ẽ t ɾ e l a s a m ẽ t u
entrelaçamento	portugal	ĩ t ɾ e l a s a m ẽ t u
entrelaçando	portugal	ĩ t ɾ e l a s ɐ̃ d u
entrelaçar	portugal	ẽ t ɾ ɨ l ɐ s a ɾ
entrelaçava	portugal	ĩ t ɾ e l a s a v ɐ
entrelaçavam	portugal	ĩ t ɾ e l a s a v ɐ̃ w̃
entrelaçou	portugal	ĩ t ɾ e l a s o w
entrelaçá	portugal	ẽ t ɾ ɨ l ɐ s a
entrelinhas	brazil	ẽ t ɾ e ʎ ĩ j̃ ɐ s
entrelinhas	portugal	ĩ t ɾ e l i ɲ ɐ ʃ
entreluz	portugal	ẽ t ɾ ɨ l u ʃ
entreluzia	portugal	ẽ t ɾ ɨ l u z i ɐ
entrem	brazil	ĩ t ɾ ẽ j̃
entrem	portugal	ẽ t ɾ ɐ̃ j̃
entremeada	portugal	ẽ t ɾ ɨ m j ɐ ð ɐ
entremeado	portugal	ẽ t ɾ ɨ m j a ð u
entremeados	portugal	ẽ t ɾ ɨ m j ɐ ð u ʃ
entremeavam	portugal	ẽ t ɾ ɨ m j a v ɐ̃ w̃
entremeio	brazil+portugal	ẽ t ɾ e m e i u
entrementes	portugal	ẽ t ɾ ɨ m ẽ t ɨ ʃ
entremez	portugal	ẽ t ɾ ɨ m e ʃ
entremos	portugal	ẽ t ɾ e m u ʃ
entremostrando	portugal	ẽ t ɾ ɨ m u ʃ t ɾ ɐ̃ d u
entreolhandose	portugal	ẽ t ɾ j u ʎ ɐ̃ d ɔ z i
entreolharam	brazil	ẽ t ɾ e o ʎ a ɾ ɐ̃ w̃
entreolharam	portugal	ẽ t ɾ j u ʎ a ɾ ɐ̃ w̃
entreolhavam	portugal	ẽ t ɾ j ɔ ʎ a v ɐ̃ w̃
entrepernas	portugal	ẽ t ɾ ɨ p ɛ ɾ n ɐ ʃ
entreposto	portugal	ẽ t ɾ ɨ p o ʃ t u
entreprefas	portugal	ẽ t ɾ ɨ p ɾ ɛ f ɐ ʃ
entres	brazil	ẽ t ɾ i s
entres	portugal	ẽ t ɾ ɨ ʃ
entressachados	portugal	ẽ t ɾ ɨ s ɐ ʃ a ð u ʃ
entretanto	brazil	ẽ t ɾ i t ɐ̃ t u
entretanto	portugal	ẽ t ɾ ɨ t ɐ̃ t u
entretantopor	portugal	ẽ t ɾ ɨ t ɐ̃ t o p o ɾ
entretece	portugal	ẽ t ɾ ɨ t ɨ s ɨ
entretecendo	portugal	ẽ t ɾ ɨ t ɨ s ẽ d u
entreteceu	portugal	ẽ t ɾ ɨ t ɨ s e w
entretecia	portugal	ẽ t ɾ ɨ t ɨ s i ɐ
entretecida	portugal	ẽ t ɾ ɨ t ɨ s i ð ɐ
entretecidas	portugal	ẽ t ɾ ɨ t ɨ s i ð ɐ ʃ
entretecido	portugal	ẽ t ɾ ɨ t ɨ s i ð u
entretecidos	portugal	ẽ t ɾ ɨ t ɨ s i ð u ʃ
entretem	portugal	ẽ t ɾ ɨ t ɐ̃ j̃
entretenimento	brazil	ẽ t ɾ e t e ɲ i m ẽ t u
entretenimento	portugal	ẽ t ɾ ɨ t ɨ n i m ẽ t u
entreter	brazil	ẽ t ɾ e t e x
entreter	portugal	ẽ t ɾ ɨ t ɨ ɾ
entreterem	portugal	ẽ t ɾ ɨ t ɨ ɾ ɐ̃ j̃
entreterritórios	portugal	ẽ t ɾ ɨ t ɨ ʁ i t ɔ ɾ j u ʃ
entreterá	brazil	ẽ t ɾ e t e ɾ a
entreterá	portugal	ẽ t ɾ ɨ t ɨ ɾ a
entreteve	portugal	ẽ t ɾ ɨ t e v ɨ
entretida	portugal	ẽ t ɾ ɨ t i ð ɐ
entretidas	portugal	ẽ t ɾ ɨ t i ð ɐ ʃ
entretido	portugal	ẽ t ɾ ɨ t i ð u
entretidos	portugal	ẽ t ɾ ɨ t i ð u ʃ
entretinha	portugal	ẽ t ɾ ɨ t i ɲ ɐ
entretinham	portugal	ẽ t ɾ ɨ t i ɲ ɐ̃ w̃
entretiveram	portugal	ẽ t ɾ ɨ t i v ɛ ɾ ɐ̃ w̃
entretiverem	brazil	ẽ t ɾ e tʃ i v ɛ ɾ ẽ j̃
entretiverem	portugal	ẽ t ɾ ɨ t i v ɛ ɾ ɐ̃ j̃
entretranto	brazil	ẽ t ɾ e t ɾ ɐ̃ t u
entretém	portugal	ẽ t ɾ ɨ t ɐ̃ j̃
entretêm	brazil	ẽ t ɾ e t ẽ j̃
entretêm	portugal	ẽ t ɾ ɨ t ẽ j̃
entrevadinho	portugal	ẽ t ɾ ɨ v a dʒ i ɲ u
entrevado	portugal	ẽ t ɾ ɨ v a ð u
entreveem	portugal	ẽ t ɾ ɨ v e ɐ̃ j̃
entrever	portugal	ẽ t ɾ ɨ v e ɾ
entreveros	portugal	ẽ t ɾ ɨ v ɛ ɾ u ʃ
entrevi	portugal	ẽ t ɾ ɨ v i
entrevia	portugal	ẽ t ɾ ɨ v i ɐ
entrevista	brazil	ẽ t ɾ e v i s t ɐ
entrevista	portugal	ẽ t ɾ ɨ v i ʃ t ɐ
entrevistada	portugal	ẽ t ɾ ɨ v i ʃ t a ð ɐ
entrevistadas	portugal	ẽ t ɾ ɨ v i ʃ t a ð ɐ ʃ
entrevistado	brazil	ẽ t ɾ e v i s t a d u
entrevistado	portugal	ẽ t ɾ ɨ v i ʃ t a ð u
entrevistador	portugal	ẽ t ɾ ɨ v i ʃ t ɐ ð o ɾ
entrevistados	brazil	ẽ t ɾ e v i s t a d u s
entrevistados	portugal	ẽ t ɾ ɨ v i ʃ t a ð u ʃ
entrevistam	portugal	ẽ t ɾ ɨ v i ʃ t ɐ̃ w̃
entrevistamos	portugal	ẽ t ɾ ɨ v i ʃ t a m u ʃ
entrevistando	portugal	ẽ t ɾ ɨ v i ʃ t ɐ̃ d u
entrevistar	portugal	ẽ t ɾ ɨ v i ʃ t a ɾ
entrevistas	brazil	ẽ t ɾ e v i s t ɐ s
entrevistas	portugal	ẽ t ɾ ɨ v i ʃ t ɐ ʃ
entrevistei	portugal	ẽ t ɾ ɨ v i ʃ t e j
entrevistou	portugal	ẽ t ɾ ɨ v i ʃ t o w
entrevêem	portugal	ẽ t ɾ ɨ v ɐ̃ j
entrincheirado	portugal	ẽ t ɾ ĩ ʃ e j ɾ a ð u
entrincheirados	portugal	ẽ t ɾ ĩ ʃ e j ɾ a ð u ʃ
entrincheirou	portugal	ẽ t ɾ ĩ ʃ e j ɾ o w
entristece	portugal	ẽ t ɾ i ʃ t ɨ s ɨ
entristecedor	portugal	ẽ t ɾ i ʃ t ɨ s ɨ ð o ɾ
entristecedoras	portugal	ẽ t ɾ i ʃ t ɨ s ɨ ð o ɾ ɐ ʃ
entristecem	portugal	ẽ t ɾ i ʃ t ɨ s ɐ̃ j̃
entristecendo	portugal	ẽ t ɾ i ʃ t ɨ s ẽ d u
entristecer	portugal	ẽ t ɾ i ʃ t ɨ s e ɾ
entristecesse	portugal	ẽ t ɾ i ʃ t ɨ s ɛ s ɨ
entristeceu	portugal	ẽ t ɾ i ʃ t ɨ s e w
entristecia	portugal	ẽ t ɾ i ʃ t ɨ s i ɐ
entristeciam	portugal	ẽ t ɾ i ʃ t ɨ s i ɐ̃ w̃
entristecida	portugal	ẽ t ɾ i ʃ t ɨ s i ð ɐ
entristecidas	portugal	ẽ t ɾ i ʃ t ɨ s i ð ɐ ʃ
entristecido	brazil	ĩ t ɾ i s t e s i d u
entristecido	brazil	ĩ t ɾ i ʃ t e s i d u
entristecido	portugal	ẽ t ɾ i ʃ t ɨ s i ð u
entristecê	portugal	ẽ t ɾ i ʃ t ɨ s e
entristeçam	portugal	ẽ t ɾ i ʃ t e s ɐ̃ w̃
entristeço	portugal	ẽ t ɾ i ʃ t e s u
entro	portugal	ẽ t ɾ u
entronada	portugal	ẽ t ɾ o n a ð ɐ
entroncado	portugal	ẽ t ɾ õ k a d u
entroncados	portugal	ẽ t ɾ õ k ɐ ð u ʃ
entroncam	portugal	ẽ t ɾ õ k ɐ̃ w̃
entroncamento	portugal	ẽ t ɾ õ k ɐ m ẽ t u
entroncou	portugal	ẽ t ɾ õ k o w
entronizado	brazil	ĩ t ɾ o ɲ i z a d u
entronização	brazil	ĩ t ɾ o ɲ i z a s ɐ̃ w̃
entrou	brazil	ĩ t ɾ o w
entrou	portugal	ẽ t ɾ o w
entrouxadas	portugal	ẽ t ɾ o w s a d ɐ ʃ
entrouxado	portugal	ẽ t ɾ o w ʃ a ð u
entrouxava	portugal	ẽ t ɾ o w ʃ a v ɐ
entrouxou	portugal	ẽ t ɾ o w ʃ o w
entrtar	brazil	ĩ t ɾ t a x
entrudo	portugal	ĩ t ɾ u ð u
entrudo	portugal	ẽ t ɾ u ð u
entruido	portugal	ĩ t ɾ u j ð u
entruido	portugal	ẽ t ɾ u j ð u
entrámos	portugal	ẽ t ɾ a m u ʃ
entrára	portugal	ẽ t ɾ a ɾ ɐ
entrávamos	portugal	ẽ t ɾ a v a m u ʃ
entrão	portugal	ẽ t ɾ ɐ̃ w̃
entrévada	portugal	ẽ t ɾ ɛ v a ð ɐ
entubado	portugal	ẽ t u b a d u
entufando	portugal	ẽ t u f ɐ̃ d u
entulhadas	brazil	ẽ t u ʎ a d ɐ s
entulhadas	portugal	ẽ t u ʎ a ð ɐ ʃ
entulhado	brazil	ẽ t u ʎ a d u
entulho	portugal	ẽ t u ʎ u
entumece	portugal	ẽ t u m ɨ s ɨ
entumecida	portugal	ẽ t u m ɨ s i ð ɐ
entumecidas	portugal	ẽ t u m ɨ s i ð ɐ ʃ
entumecido	portugal	ẽ t u m ɨ s i ð u
entupia	portugal	ẽ t u p i ɐ
entupida	portugal	ẽ t u p i ð ɐ
entupidas	portugal	ẽ t u p i ð ɐ ʃ
entupido	portugal	ẽ t u p i ð u
entupir	portugal	ẽ t u p i ɾ
entura	portugal	ẽ t u ɾ ɐ
enturvava	portugal	ẽ t u ɾ v a v ɐ
entusiasma	brazil	ẽ t u z i a z m ɐ
entusiasma	portugal	ẽ t u z j a ʒ m ɐ
entusiasmada	portugal	ẽ t u z j ɐ ʒ m a ð ɐ
entusiasmado	brazil	ẽ t u z i a z m a d u
entusiasmado	portugal	ẽ t u z j ɐ ʒ m a ð u
entusiasmados	brazil	ẽ t u z i a z m a d u s
entusiasmados	portugal	ẽ t u z j ɐ ʒ m a ð u ʃ
entusiasmar	portugal	ẽ t u z j ɐ ʒ m a ɾ
entusiasmará	brazil	ẽ t u z i a z m a ɾ a
entusiasmava	portugal	ẽ t u z j ɐ ʒ m a v ɐ
entusiasmo	brazil	ẽ t u z i a z m u
entusiasmo	portugal	ẽ t u z j a ʒ m u
entusiasmos	portugal	ẽ t u z j a ʒ m u ʃ
entusiasmou	portugal	ẽ t u z j ɐ ʒ m o w
entusiasta	brazil	ẽ t u z i a s t a
entusiasta	brazil	ẽ t u z i a s t ɐ
entusiasta	brazil	ẽ t u z i a ʃ t ɐ
entusiasta	portugal	ẽ t u z j a ʃ t ɐ
entusiastas	brazil	ẽ t u z i a s t ɐ s
entusiastas	portugal	ẽ t u z j a ʃ t ɐ ʃ
entusiasticamente	brazil	ẽ t u z i a s t i k ɐ m ẽ tʃ i
entusiasticamente	portugal	ẽ t u z j a ʃ t i k ɐ m ẽ t ɨ
entusiástica	portugal	ẽ t u z j a ʃ t i k ɐ
entusiásticas	portugal	ẽ t u z j a ʃ t i k ɐ ʃ
entusiástico	brazil	ẽ t u z i a s t i k u
entusiástico	portugal	ẽ t u z j a ʃ t i k u
entusiásticos	portugal	ẽ t u z j a ʃ t i k u ʃ
então	brazil	ĩ t ɐ̃ w̃
então	portugal	ẽ t ɐ̃ w̃
entôa	portugal	ĩ t o ɐ
enua	portugal	ɛ n u ɐ
enumeradas	brazil	e n u m e ɾ a d ɐ s
enumeradas	portugal	ɛ n u m ɨ ɾ a d ɐ ʃ
enumerando	portugal	ɛ n u m ɨ ɾ ɐ̃ d u
enumerar	brazil	e n u m e ɾ a x
enumerar	portugal	ɛ n u m ɨ ɾ a ɾ
enumerava	portugal	ɛ n u m ɨ ɾ a v ɐ
enumeração	brazil	e n u m e ɾ a s ɐ̃ w̃
enumeração	portugal	ɛ n u m ɨ ɾ ɐ s ɐ̃ w̃
enumerou	brazil	e n u m e ɾ o w
enunciada	portugal	i n ũ s j a ð ɐ
enunciado	portugal	i n ũ s j a ð u
enunciando	portugal	i n ũ s j ɐ̃ d u
enunciar	portugal	i n ũ s i a ɾ
enunciava	portugal	i n ũ s i a v ɐ
enunciou	brazil	e n ũ s i o w
enunciou	portugal	i n ũ s j o w
enurmos	portugal	ɛ n u ɾ m u ʃ
enus	portugal	ɛ n u ʃ
envelhece	brazil	ẽ v e ʎ e s i
envelhece	portugal	ẽ v ɨ ʎ ɨ s ɨ
envelhecem	brazil	ẽ v e ʎ e s ẽ j̃
envelhecem	portugal	ẽ v ɨ ʎ ɨ s ɐ̃ j̃
envelhecendo	brazil	ẽ v e ʎ e s ẽ d u
envelhecendo	portugal	ẽ v ɨ ʎ ɨ s ẽ d u
envelhecer	portugal	ẽ v ɨ ʎ ɨ s e ɾ
envelhecera	portugal	ẽ v ɨ ʎ ɨ s e ɾ ɐ
envelhecerem	portugal	ẽ v ɨ ʎ ɨ s e ɾ ɐ̃ j̃
envelhecermos	portugal	ẽ v ɨ ʎ ɨ s e ɾ m u ʃ
envelhecerão	portugal	ẽ v ɨ ʎ ɨ s e ɾ ɐ̃ w̃
envelhecesse	portugal	ẽ v ɨ ʎ ɨ s ɛ s ɨ
envelhecessem	portugal	ẽ v ɨ ʎ ɨ s ɨ s ɐ̃ j̃
envelheceu	portugal	ẽ v ɨ ʎ ɨ s e w
envelheci	portugal	ẽ v ɨ ʎ ɨ s i
envelhecia	portugal	ẽ v ɨ ʎ ɨ s i ɐ
envelhecida	brazil	ẽ v e ʎ e s i d ɐ
envelhecida	portugal	ẽ v ɨ ʎ ɨ s i ð ɐ
envelhecido	portugal	ẽ v ɨ ʎ ɨ s i ð u
envelhecidos	portugal	ẽ v ɨ ʎ ɨ s i ð u ʃ
envelhecimento	portugal	ẽ v ɨ ʎ ɨ s i m ẽ t u
envelheçamos	portugal	ẽ v ɨ ʎ ɨ s a m u ʃ
envelheças	portugal	ẽ v ɨ ʎ ɨ s ɐ ʃ
envelope	brazil	ẽ v e l ɔ p i
envelope	portugal	ẽ v ɨ l ɔ p ɨ
envelopes	brazil	ẽ v e l ɔ p i s
envelopes	portugal	ẽ v ɨ l ɔ p ɨ ʃ
envencilhar	brazil	ẽ v ẽ s i ʎ a x
envencilhar	brazil+portugal	ẽ v ẽ s i ʎ a ɾ
envenena	portugal	ẽ v ɨ n ɨ n ɐ
envenenada	portugal	ẽ v ɨ n ɨ n a ð ɐ
envenenadas	portugal	ẽ v ɨ n ɨ n a d ɐ ʃ
envenenamento	brazil	ẽ v e n e n a m ẽ t u
envenenamento	portugal	ẽ v ɨ n ɨ n ɐ m ẽ t u
envenenando	portugal	ẽ v ɨ n ɨ n ɐ̃ d u
envenenar	portugal	ẽ v ɨ n ɨ n a ɾ
envenenarlhe	portugal	ẽ v ɨ n ɨ n ɐ ɾ ʎ ɨ
envenenarmos	portugal	ẽ v ɨ n ɨ n a ɾ m u ʃ
envenenará	portugal	ẽ v ɨ n ɨ n ɐ ɾ a
envenenou	portugal	ẽ v ɨ n ɨ n o w
enver	brazil	ẽ v e x
enver	portugal	ẽ v ɨ ɾ
envereda	portugal	ẽ v ɨ ɾ e d a
enveredando	portugal	ẽ v ɨ ɾ e d ɐ̃ d u
enveredava	portugal	ẽ v ɨ ɾ e d a v ɐ
enverga	portugal	ẽ v ɨ ɾ ɣ ɐ
envergados	portugal	ẽ v ɨ ɾ ɣ a ð u ʃ
envergadura	brazil	ẽ v e x ɡ a d u ɾ ɐ
envergadura	portugal	ẽ v ɨ ɾ ɣ ɐ ð u ɾ ɐ
envergando	portugal	ẽ v ɨ ɾ ɣ ɐ̃ d u
envergar	portugal	ẽ v ɨ ɾ ɣ a ɾ
envergara	portugal	ẽ v ɨ ɾ ɣ a ɾ ɐ
envergava	portugal	ẽ v ɨ ɾ ɣ a v ɐ
envergo	portugal	ẽ v ɨ ɾ ɣ u
envergonha	brazil	ẽ v e x ɡ õ j̃ a
envergonha	portugal	ẽ v ɨ ɾ ɣ u ɲ ɐ
envergonhada	brazil	ẽ v e x ɡ õ j̃ a d ɐ
envergonhada	portugal	ẽ v ɨ ɾ ɣ u ɲ a d ɐ
envergonhado	portugal	ẽ v ɨ ɾ ɣ u ɲ a ð u
envergonhados	portugal	ẽ v ɨ ɾ ɣ u ɲ a ð u ʃ
envergonhando	portugal	ẽ v ɨ ɾ ɣ u ɲ ɐ̃ d u
envergonhar	portugal	ẽ v ɨ ɾ ɣ u ɲ a ɾ
envergonharia	portugal	ẽ v ɨ ɾ ɣ u ɲ ɐ ɾ i ɐ
envergonhará	portugal	ẽ v ɨ ɾ ɣ u ɲ ɐ ɾ a
envergonhas	portugal	ẽ v ɨ ɾ ɣ u ɲ ɐ ʃ
envergonhava	portugal	ẽ v ɨ ɾ ɣ u ɲ a v ɐ
envergonhavam	portugal	ẽ v ɨ ɾ ɣ u ɲ a v ɐ̃ w̃
envergonhe	brazil	ẽ v e x ɡ õ j̃
envergonhe	portugal	ẽ v ɨ ɾ ɣ u ɲ ɨ
envergonhei	portugal	ẽ v ɨ ɾ ɣ u ɲ e j
envergonhou	portugal	ẽ v ɨ ɾ ɣ u ɲ o w
envergonhá	portugal	ẽ v ɨ ɾ ɣ u ɲ a
envergonhál	portugal	ẽ v ɨ ɾ ɣ u ɲ a l
envernizada	portugal	ẽ v ɨ ɾ n i z a d ɐ
envernizado	portugal	ẽ v ɨ ɾ n i z a ð u
envernizados	portugal	ẽ v ɨ ɾ n i z a ð u ʃ
envernizagem	portugal	ẽ v ɨ ɾ n i z a ʒ ɐ̃ j̃
envesgados	portugal	ẽ v ɨ z ɡ a ð u ʃ
envesgando	portugal	ẽ v ɨ ʒ ɣ ɐ̃ d u
envia	brazil	ẽ v i a
envia	portugal	ẽ v i ɐ
enviada	brazil	ẽ v i a d ɐ
enviada	portugal	ẽ v j a ð ɐ
enviadas	brazil	ẽ v i a d ɐ s
enviadas	portugal	ẽ v j a ð ɐ ʃ
enviado	brazil	ẽ v i a d u
enviado	portugal	ẽ v j a ð u
enviados	brazil	ẽ v i a d u s
enviados	portugal	ẽ v i a ð u ʃ
enviai	portugal	ẽ v i a j
envial	portugal	ẽ v j a l
enviam	brazil+portugal	ẽ v i ɐ̃ w̃
enviamo	portugal	ẽ v j ɐ m u
enviamos	brazil	ẽ v i ɐ m u s
enviamos	portugal	ẽ v i a m u ʃ
enviando	portugal	ẽ v j ɐ̃ d u
enviandolhe	portugal	ẽ v j ɐ̃ d ɔ ʎ ɨ
enviar	brazil	ẽ v i a x
enviar	portugal	ẽ v j a ɾ
enviara	portugal	ẽ v i a ɾ ɐ
enviaram	portugal	ẽ v j a ɾ ɐ̃ w̃
enviasse	portugal	ẽ v j a s ɨ
enviassem	portugal	ẽ v j a s ɐ̃ j̃
enviastes	portugal	ẽ v j a ʃ t ɨ ʃ
enviava	portugal	ẽ v j a v ɐ
enviavam	portugal	ẽ v j a v ɐ̃ w̃
envidraçada	portugal	ẽ v i ð ɾ ɐ s a ð ɐ
envidraçado	portugal	ẽ v i ð ɾ ɐ s a ð u
envie	brazil	ẽ v i
envie	portugal	ẽ v j ɨ
enviei	brazil	ẽ v i e j
enviei	portugal	ẽ v j ɐ j
enviem	portugal	ẽ v j ɐ̃ j̃
enviesada	portugal	ẽ v j ɛ z a ð ɐ
enviesadas	portugal	ẽ v j ɛ z a ð ɐ ʃ
enviesado	portugal	ẽ v j ɛ z a ð u
enviesados	portugal	ẽ v j ɛ z a ð u ʃ
envilecida	portugal	ẽ v i l ɨ s i ð ɐ
envio	brazil+portugal	ẽ v i u
enviou	brazil+portugal	ẽ v i o w
envira	portugal	ẽ v i ɾ ɐ
enviscar	portugal	ẽ v i ʃ k a ɾ
enviuvar	portugal	ẽ v j u v a ɾ
enviuvou	portugal	ẽ v j u v o w
enviá	brazil	ẽ v i a
enviá	portugal	ẽ v j a
envo	portugal	ẽ v u
envolta	portugal	ẽ v o l t ɐ
envoltas	portugal	ẽ v o l t ɐ ʃ
envolto	brazil	ẽ v o w t u
envolto	portugal	ẽ v o l t u
envoltos	portugal	ẽ v o l t u ʃ
envoltório	brazil	ẽ v o w t ɔ ɾ j u
envoltório	portugal	ẽ v o l t ɔ ɾ j u
envolva	brazil	ẽ v o w v ɐ
envolva	portugal	ẽ v o l v ɐ
envolvam	brazil	ẽ v o w v ɐ̃ w̃
envolvam	portugal	ẽ v o l v ɐ̃ w̃
envolve	brazil	ẽ v o w v i
envolve	portugal	ẽ v o l v ɨ
envolvem	brazil	ẽ v o w v ẽ j̃
envolvem	portugal	ẽ v o l v ɐ̃ j̃
envolvemos	portugal	ẽ v o l v e m u ʃ
envolvendo	brazil	ẽ v o w v ẽ d u
envolvendo	portugal	ẽ v o l v ẽ d u
envolvente	portugal	ẽ v o l v ẽ t ɨ
envolventes	portugal	ẽ v o l v ẽ t ɨ ʃ
envolver	brazil	ĩ v o w v e x
envolver	brazil	ẽ v o w v e x
envolver	portugal	ẽ v o l v e ɾ
envolvera	portugal	ẽ v o l v e ɾ ɐ
envolveram	brazil	ẽ v o w v e ɾ ɐ̃ w̃
envolveram	portugal	ẽ v o l v e ɾ ɐ̃ w̃
envolverase	portugal	ẽ v o l v e ɾ a z ɨ
envolverem	portugal	ẽ v o l v e ɾ ɐ̃ j̃
envolverá	portugal	ẽ v o l v ɨ ɾ a
envolvesse	brazil	ẽ v o w v ɛ s i
envolvesse	portugal	ẽ v o l v e s ɨ
envolvessem	brazil	ẽ v o w v ɛ s ẽ j̃
envolvessem	portugal	ẽ v o l v e s ɐ̃ j̃
envolveu	brazil	ẽ v o w v ɛ w
envolveu	portugal	ẽ v o l v e w
envolveume	portugal	ẽ v o l v e u m ɨ
envolvi	portugal	ẽ v o l v i
envolvia	portugal	ẽ v o l v i ɐ
envolviam	portugal	ẽ v o l v i ɐ̃ w̃
envolvida	brazil	ĩ v o w v i d ɐ
envolvida	portugal	ẽ v o l v i ð ɐ
envolvidas	brazil	ĩ v o w v i d ɐ s
envolvidas	portugal	ẽ v o l v i ð ɐ ʃ
envolvido	brazil	ĩ v o w v i d u
envolvido	portugal	ẽ v o l v i ð u
envolvidos	brazil	ĩ v o w v i d u s
envolvidos	portugal	ẽ v o l v i ð u ʃ
envolvimento	brazil	ĩ v o w v i m ẽ t u
envolvimento	portugal	ẽ v o l v i m ẽ t u
envolvê	portugal	ẽ v o l v e
envovem	brazil	ẽ v o v ẽ j̃
envólucro	brazil+portugal	ĩ v ɔ l u k ɾ u
enxada	brazil	ĩ ʃ a d ɐ
enxada	portugal	ẽ ʃ a ð ɐ
enxadas	portugal	ẽ ʃ ɐ ð ɐ ʃ
